Region,Year,Month,Dengue_Cases,Risk_Score,Risk_Level,Outbreak
Region III,2018,September,5026,6.290300337113086,高,0
Region III,2018,October,3302,5.650151882771774,中,0
Region III,2018,November,2859,5.7131432848240085,中,0
Region III,2018,December,2226,5.75,中,0
Region III,2019,January,1813,6.225480947161671,高,0
Region III,2019,February,1840,6.795425711720462,高,0
Region III,2019,March,1230,7.25,高,0
Region III,2019,April,460,7.524519052838329,高,0
Region III,2019,May,428,7.284519052838329,高,0
Region III,2019,June,1371,7.985802385008517,高,0
Region III,2019,July,2228,7.399610227163639,高,0
Region III,2019,August,6593,7.406810458002022,高,1
Region III,2019,September,9713,7.155779918638158,高,1
Region III,2019,October,5682,6.196256234866093,高,1
Region III,2019,November,3003,5.525848208441839,中,0
Region III,2019,December,2797,6.006513926325248,高,0
Region III,2020,January,2859,6.82459184547069,高,0
Region III,2020,February,3091,7.53555761147087,高,0
Region III,2020,March,1404,7.3914634146341465,高,0
Region III,2020,April,207,7.524519052838329,高,0
Region III,2020,May,201,5.766519052838329,中,0
Region III,2020,June,280,4.613479270315091,中,0
Region III,2020,July,698,5.764519052838329,中,0
Region III,2020,August,1272,7.047830517362244,高,0
Region III,2020,September,1073,5.75,中,0
Region III,2020,October,1013,5.475480947161671,中,0
Region III,2020,November,1731,6.184266731959302,高,0
Region III,2020,December,2162,5.998989023685731,中,0
Region IV-A,2016,January,2993,3.225480947161671,低,0
Region IV-A,2016,February,2035,6.774519052838329,高,0
Region IV-A,2016,March,1327,7.25,高,0
Region IV-A,2016,April,838,7.524519052838329,高,0
Region IV-A,2016,May,714,7.524519052838329,高,0
Region IV-A,2016,June,778,7.339635854341736,高,0
Region IV-A,2016,July,2270,7.774519052838329,高,0
Region IV-A,2016,August,3218,6.64310209253612,高,0
Region IV-A,2016,September,3454,5.823337476693599,中,0
Region IV-A,2016,October,3175,5.475480947161671,中,0
Region IV-A,2016,November,2023,5.475480947161671,中,0
Region IV-A,2016,December,1457,5.75,中,0
Region IV-A,2017,January,1764,6.436187879213833,高,0
Region IV-A,2017,February,1243,6.774519052838329,高,0
Region IV-A,2017,March,927,7.25,高,0
Region IV-A,2017,April,647,7.524519052838329,高,0
Region IV-A,2017,May,435,7.524519052838329,高,0
Region IV-A,2017,June,815,7.781121059007771,高,0
Region IV-A,2017,July,2727,7.9758406387414125,高,0
Region IV-A,2017,August,3121,6.369962061939815,高,0
Region IV-A,2017,September,2520,5.75,中,0
Region IV-A,2017,October,2759,5.570322217002941,中,0
Region IV-A,2017,November,2635,5.778001955565032,中,0
Region IV-A,2017,December,2828,6.764219387137147,高,0
Region IV-A,2018,January,2457,6.618338090018813,高,0
Region IV-A,2018,February,1975,7.36341688067421,高,0
Region IV-A,2018,March,1494,7.861650485436893,高,0
Region IV-A,2018,April,946,7.9866519740129815,高,0
Region IV-A,2018,May,675,8.076243190769363,极高,0
Region IV-A,2018,June,991,7.9340990683935475,高,0
Region IV-A,2018,July,2793,7.798721473080353,高,0
Region IV-A,2018,August,3756,6.773731924309304,高,0
Region IV-A,2018,September,4697,6.864421370252041,高,0
Region IV-A,2018,October,3914,5.894110885545143,中,0
Region IV-A,2018,November,3575,5.832217190045921,中,0
Region IV-A,2018,December,3137,5.8592644978783595,中,0
Region IV-A,2019,January,2157,6.225480947161671,高,0
Region IV-A,2019,February,3252,7.9287508445321375,高,0
Region IV-A,2019,March,2252,7.757362784471218,高,0
Region IV-A,2019,April,892,7.524519052838329,高,0
Region IV-A,2019,May,909,7.890244015469121,高,0
Region IV-A,2019,June,2531,9.25,极高,0
Region IV-A,2019,July,6365,8.774519052838329,极高,0
Region IV-A,2019,August,15047,8.225480947161671,极高,1
Region IV-A,2019,September,21658,7.189356682395162,高,1
Region IV-A,2019,October,10365,6.475480947161671,高,1
Region IV-A,2019,November,5899,6.125550877231601,高,0
Region IV-A,2019,December,4868,6.301801083838062,高,0
Region IV-A,2020,January,3175,6.697432732048087,高,0
Region IV-A,2020,February,2581,6.774519052838329,高,0
Region IV-A,2020,March,1504,7.25,高,0
Region IV-A,2020,April,151,7.524519052838329,高,0
Region IV-A,2020,May,77,5.354963497282774,中,0
Region IV-A,2020,June,105,3.445636363636364,低,0
Region IV-A,2020,July,212,3.842296830616107,低,0
Region IV-A,2020,August,291,3.545678012151189,低,0
Region IV-A,2020,September,231,3.3115555555555556,低,0
Region IV-A,2020,October,325,3.2095184651991886,低,0
Region IV-A,2020,November,542,4.313173254853979,中,0
Region IV-A,2020,December,527,5.298888888888889,中,0
Region IV-B,2016,January,203,1.9021476138283377,极低,0
Region IV-B,2016,February,219,3.77467012016181,低,0
Region IV-B,2016,March,211,4.267333333333333,中,0
Region IV-B,2016,April,181,4.4694079417272174,中,0
Region IV-B,2016,May,203,4.3931771252754075,中,0
Region IV-B,2016,June,263,4.482455391351944,中,0
Region IV-B,2016,July,735,5.686963497282774,中,0
Region IV-B,2016,August,778,6.2573176818555485,高,0
Region IV-B,2016,September,469,5.75,中,0
Region IV-B,2016,October,388,5.1061476138283375,中,0
Region IV-B,2016,November,214,3.993480947161671,低,0
Region IV-B,2016,December,135,2.852888888888889,低,0
Region IV-B,2017,January,243,3.690303059914818,低,0
Region IV-B,2017,February,255,4.149618663864881,中,0
Region IV-B,2017,March,147,4.496666666666666,中,0
Region IV-B,2017,April,69,3.929852386171662,低,0
Region IV-B,2017,May,94,3.6452823378624837,低,0
Region IV-B,2017,June,232,4.252888888888889,中,0
Region IV-B,2017,July,393,4.659373458968597,中,0
Region IV-B,2017,August,412,4.784049225363537,中,0
Region IV-B,2017,September,286,4.434222222222223,中,0
