Month,Year,Region,Dengue_Cases,Dengue_Deaths,MonthNum,Date,YearMonth,Lag1_Cases,Lag2_Cases,Lag3_Cases,Month_Sin,Month_Cos,MA3_Cases,MA6_Cases,MA12_Cases,EWMA3_Cases,MoM_Growth,YoY_Growth,Outbreak,Outbreak_Level,Risk_Score,Risk_Level
August,2017,Region X,1354,4,8,2017-08-01,2017-08,686.0,451.0,356.0,-0.8660254037844385,-0.5000000000000004,830.3333333333334,630.0,966.4166666666666,962.4928860596524,0.9737609329446064,-0.5326199516741457,0,0,7.199241880106277,高
September,2017,Region X,290,243,9,2017-09-01,2017-09,1354.0,686.0,451.0,-1.0,-1.8369701987210297e-16,776.6666666666666,598.0,791.75,626.2462826949513,-0.7858197932053176,-0.8784576697401509,0,0,5.75,中
October,2017,Region X,227,282,10,2017-10-01,2017-10,290.0,1354.0,686.0,-0.8660254037844386,0.5000000000000001,623.6666666666666,560.6666666666666,661.1666666666666,426.62309375359865,-0.21724137931034482,-0.8734671125975474,0,0,4.215480947161671,中
November,2017,Region X,276,1,11,2017-11-01,2017-11,227.0,290.0,1354.0,-0.5000000000000004,0.8660254037844384,264.3333333333333,547.3333333333334,595.3333333333334,351.31153789896223,0.2158590308370043,-0.7410881801125704,0,0,2.9344510891097855,低
December,2017,Region X,409,0,12,2017-12-01,2017-12,276.0,227.0,290.0,-2.4492935982947064e-16,1.0,304.0,540.3333333333334,556.5833333333334,380.15577066873135,0.4818840579710144,-0.5320366132723112,0,0,3.901217391304348,低
January,2018,Region X,429,4,1,2018-01-01,2018-01,409.0,276.0,227.0,0.49999999999999994,0.8660254037844387,371.3333333333333,497.5,500.9166666666667,404.57788606220146,0.0488997555012225,-0.6089334548769372,0,0,4.96615848044067,中
February,2018,Region X,482,3,2,2018-02-01,2018-02,429.0,409.0,276.0,0.8660254037844386,0.5000000000000001,440.0,352.1666666666667,491.0833333333333,443.28894360794044,0.12354312354312347,-0.19666666666666666,0,0,5.9387288430481195,中
March,2018,Region X,655,11,3,2018-03-01,2018-03,482.0,429.0,409.0,1.0,6.123233995736766e-17,522.0,413.0,505.5,549.1444725926553,0.3589211618257262,0.3589211618257262,0,0,7.599842323651453,高
April,2018,Region X,813,6,4,2018-04-01,2018-04,655.0,482.0,429.0,0.8660254037844387,-0.4999999999999998,650.0,510.6666666666667,535.6666666666666,681.0722367877969,0.24122137404580157,0.8026607538802661,0,0,8.568401180764397,极高
May,2018,Region X,833,6,5,2018-05-01,2018-05,813.0,655.0,482.0,0.49999999999999994,-0.8660254037844387,767.0,603.5,575.4166666666666,757.0361185353922,0.024600246002460135,1.3398876404494384,0,0,8.54911929884079,极高
